pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
ST,2020-08-02,77.3,-2.71,5.68,"Ohtani, Shohei",572863,660271,,called_strike,,,,,9,Dustin Garneau walks.   Michael Brantley scores.    Yuli Gurriel to 3rd.    Josh Reddick to 2nd.,R,R,R,LAA,HOU,S,,,0,0,2020,1.73,0.05,0.48,1.77,488726.0,493329.0,502210.0,2,2,Top,,,,,545358,,,3.664378649973511,-112.60216940677326,-1.471928676315447,13.96335987075758,21.492577914010155,-31.70649051134194,3.32,1.52,,,,77.8,2984.0,6.7,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.78,,,,,,,,14,1,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,136.0,0.0,-0.114,,
FF,2020-08-02,96.3,-2.41,5.86,"Ohtani, Shohei",608686,660271,strikeout,called_strike,,,,,8,Jack Mayfield called out on strikes.,R,R,R,LAA,HOU,S,2.0,,1,2,2020,-0.45,1.17,0.23,1.72,488726.0,493329.0,502210.0,1,2,Top,,,,,545358,,,8.103233355988133,-139.831122971982,-8.121451922176158,-7.696054265994068,30.33218963868033,-15.124022869869645,3.37,1.6,,,,97.0,2235.0,6.7,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.78,,0.0,0.0,1.0,0.0,0.0,,13,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,198.0,0.077,-0.574,,
ST,2020-08-02,80.3,-2.68,5.69,"Ohtani, Shohei",608686,660271,,ball,,,,,14,Jack Mayfield called out on strikes.,R,R,R,LAA,HOU,B,,,0,2,2020,1.93,0.16,1.44,1.22,488726.0,493329.0,502210.0,1,2,Top,,,,,545358,,,5.494389777076515,-116.724691971654,-3.4001988247701056,16.231775039885935,25.68635923332048,-30.189654731680204,3.32,1.55,,,,80.3,2511.0,6.7,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.78,,,,,,,,13,4,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,76.0,0.0,0.041,,
FS,2020-08-02,84.7,-2.33,6.04,"Ohtani, Shohei",608686,660271,,foul,,,,,13,Jack Mayfield called out on strikes.,R,R,R,LAA,HOU,S,,,0,2,2020,-0.21,0.02,-1.1,1.92,488726.0,493329.0,502210.0,1,2,Top,,,,,545358,,,3.313823936022225,-123.27710391707154,-3.3248760937479016,-2.8402463184443785,25.19155001815066,-31.464965290521903,3.32,1.51,4.0,87.4,-25.0,84.9,1344.0,6.5,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,54.01,,,,,,,,13,3,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,210.0,0.0,0.0,,
ST,2020-08-02,77.0,-2.63,5.78,"Ohtani, Shohei",608686,660271,,foul,,,,,8,Jack Mayfield called out on strikes.,R,R,R,LAA,HOU,S,,,0,1,2020,1.34,0.05,0.22,1.64,488726.0,493329.0,502210.0,1,2,Top,,,,,545358,,,3.6187553193519975,-112.10859976041876,-1.9572180074439456,10.746390822517872,19.14971319262651,-31.58839579789297,3.32,1.51,4.0,46.7,-25.0,77.6,2309.0,6.6,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.95,,,,,,,,13,2,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,78.0,0.0,-0.148,,
ST,2020-08-02,78.7,-2.51,5.79,"Ohtani, Shohei",608686,660271,,swinging_strike,,,,,9,Jack Mayfield called out on strikes.,R,R,R,LAA,HOU,S,,,0,0,2020,1.1,0.32,0.74,1.55,488726.0,493329.0,502210.0,1,2,Top,,,,,545358,,,5.036000225260924,-114.65951173394842,-3.03298140811533,8.815203797123212,20.142675184830196,-28.9870841288824,3.32,1.51,,,,79.3,2954.0,6.5,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.96,,,,,,,,13,1,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,30.0,0.0,-0.182,,
FS,2020-08-02,85.3,-2.38,6.0,"Ohtani, Shohei",663656,660271,strikeout,foul_tip,,,,,11,Kyle Tucker strikes out on a foul tip.,R,L,R,LAA,HOU,S,2.0,,2,2,2020,-0.27,0.3,-1.19,2.68,488726.0,493329.0,502210.0,0,2,Top,,,,,545358,,,3.358526955027302,-124.18061273017436,-2.091824466235278,-3.479883793974554,26.30122384469192,-28.85675255597458,3.55,1.63,,,,85.8,2990.0,6.7,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.81,,0.0,0.0,1.0,0.0,0.0,,12,5,Split-Finger,0,0,0,0,0,0,0,0,Infield shift,Standard,354.0,0.069,-0.66,,
FF,2020-08-02,93.7,-2.52,5.79,"Ohtani, Shohei",663656,660271,,foul,,,,,5,Kyle Tucker strikes out on a foul tip.,R,L,R,LAA,HOU,S,,,2,1,2020,-0.42,1.06,-0.11,2.85,488726.0,493329.0,502210.0,0,2,Top,,,,,545358,,,7.204126585000928,-136.29942716985607,-4.254697611572927,-6.690897590108226,27.147213097121494,-18.20847829113703,3.55,1.63,203.0,74.1,46.0,94.7,2090.0,6.7,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.79,,,,,,,,12,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,212.0,0.0,-0.298,,
ST,2020-08-02,77.2,-2.63,5.78,"Ohtani, Shohei",663656,660271,,ball,,,,,13,Kyle Tucker strikes out on a foul tip.,R,L,R,LAA,HOU,B,,,1,1,2020,1.22,-0.22,-0.26,1.01,488726.0,493329.0,502210.0,0,2,Top,,,,,545358,,,2.8303870734473557,-112.45417781233668,-2.8612112043924767,9.924097258727407,19.40447011851069,-33.72308800150129,3.47,1.71,,,,77.9,3466.0,6.6,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.91,,,,,,,,12,3,Sweeper,0,0,0,0,0,0,0,0,Infield shift,Standard,359.0,0.0,0.226,,
ST,2020-08-02,80.2,-2.52,5.78,"Ohtani, Shohei",663656,660271,,swinging_strike,,,,,14,Kyle Tucker strikes out on a foul tip.,R,L,R,LAA,HOU,S,,,1,0,2020,1.25,0.41,1.45,1.86,488726.0,493329.0,502210.0,0,2,Top,,,,,545358,,,6.448859870363397,-116.57093750355024,-2.6625414021752376,9.961701030874504,24.748512001254632,-28.151598855966814,3.55,1.63,,,,80.2,2228.0,6.7,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.82,,,,,,,,12,2,Sweeper,0,0,0,0,0,0,0,0,Infield shift,Standard,82.0,0.0,-0.147,,
CU,2020-08-02,71.2,-2.32,6.09,"Ohtani, Shohei",663656,660271,,ball,,,,,13,Kyle Tucker strikes out on a foul tip.,R,L,R,LAA,HOU,B,,,0,0,2020,1.19,-1.27,-1.09,2.37,488726.0,493329.0,502210.0,0,2,Top,,,,,545358,,,0.3978714318115188,-103.50690676291872,2.5243177589413763,8.417868566136983,19.727070821809523,-41.960633314670055,3.42,1.49,,,,71.0,3023.0,6.5,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,54.0,,,,,,,,12,1,Curveball,0,0,0,0,0,0,0,0,Infield shift,Standard,76.0,0.0,0.099,,
FF,2020-08-02,94.8,-2.43,5.85,"Ohtani, Shohei",502210,660271,walk,ball,,,,,11,Josh Reddick walks.   Michael Brantley to 3rd.    Yuli Gurriel to 2nd.,R,L,R,LAA,HOU,B,,,3,2,2020,-0.29,1.2,-1.08,3.16,,488726.0,493329.0,0,2,Top,,,,,545358,,,4.212131788012663,-138.01386057347506,-4.105411869445139,-4.655573961702013,29.928624668044865,-16.060874066712937,3.3,1.62,,,,95.6,2197.0,6.6,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.85,,0.698811,0.7,1.0,0.0,0.0,,11,7,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,195.0,-0.079,0.653,,
FF,2020-08-02,97.1,-2.57,5.76,"Ohtani, Shohei",502210,660271,,foul,,,,,9,Josh Reddick walks.   Michael Brantley to 3rd.    Yuli Gurriel to 2nd.,R,L,R,LAA,HOU,S,,,3,2,2020,-0.2,1.27,0.35,1.82,,488726.0,493329.0,0,2,Top,,,,,545358,,,8.312458092848209,-141.046825500463,-7.951165065672998,-4.578668059397118,32.09481713953898,-13.507387272542063,3.47,1.59,169.0,66.6,54.0,97.5,2254.0,6.6,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.89,,,,,,,,11,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,208.0,0.0,0.0,,
FF,2020-08-02,93.5,-2.48,5.8,"Ohtani, Shohei",502210,660271,,foul,,,,,4,Josh Reddick walks.   Michael Brantley to 3rd.    Yuli Gurriel to 2nd.,R,L,R,LAA,HOU,S,,,3,1,2020,-0.19,1.14,-0.64,2.3,,488726.0,493329.0,0,2,Top,,,,,545358,,,5.199016190174634,-136.1370859234703,-5.89380392419937,-3.383489748234174,27.71035948866892,-16.906771118589585,3.47,1.59,,,,94.5,2030.0,6.7,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.8,,,,,,,,11,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,195.0,0.0,-0.149,,
FS,2020-08-02,85.4,-2.33,5.97,"Ohtani, Shohei",502210,660271,,ball,,,,,11,Josh Reddick walks.   Michael Brantley to 3rd.    Yuli Gurriel to 2nd.,R,L,R,LAA,HOU,B,,,2,1,2020,-0.39,0.3,-1.1,2.79,,488726.0,493329.0,0,2,Top,,,,,545358,,,3.700264626390256,-124.23678037640288,-1.7478904429622335,-4.84210522201923,26.999696341498243,-28.925010550596436,3.3,1.68,,,,85.7,1163.0,6.7,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.79,,,,,,,,11,4,Split-Finger,0,0,0,0,0,0,0,0,Infield shift,Standard,150.0,0.0,0.275,,
FF,2020-08-02,95.4,-2.58,5.81,"Ohtani, Shohei",502210,660271,,ball,,,,,1,Josh Reddick walks.   Michael Brantley to 3rd.    Yuli Gurriel to 2nd.,R,L,R,LAA,HOU,B,,,1,1,2020,-0.08,1.07,-0.79,3.17,,488726.0,493329.0,0,2,Top,,,,,545358,,,4.924689822013705,-138.934130903762,-3.766109298274592,-2.0357848562854626,29.88495485594829,-17.618746685045643,3.15,1.58,,,,96.2,3002.0,6.6,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.87,,,,,,,,11,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,273.0,0.0,0.155,,
FS,2020-08-02,85.4,-2.47,5.93,"Ohtani, Shohei",502210,660271,,ball,,,,,11,Josh Reddick walks.   Michael Brantley to 3rd.    Yuli Gurriel to 2nd.,R,L,R,LAA,HOU,B,,,0,1,2020,-0.18,-0.05,-1.05,3.16,,488726.0,493329.0,0,2,Top,,,,,545358,,,3.753170971594189,-124.23876570780747,-0.0827263269555982,-2.6829700116997284,27.37692788994973,-32.87299570111086,3.28,1.62,,,,85.6,1200.0,6.7,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.81,,,,,,,,11,2,Split-Finger,0,0,0,0,0,0,0,0,Infield shift,Standard,227.0,0.0,0.047,,
CU,2020-08-02,72.6,-2.34,6.12,"Ohtani, Shohei",502210,660271,,called_strike,,,,,2,Josh Reddick walks.   Michael Brantley to 3rd.    Yuli Gurriel to 2nd.,R,L,R,LAA,HOU,S,,,0,0,2020,1.06,-1.23,-0.08,2.88,,488726.0,493329.0,0,2,Top,,,,,545358,,,2.714580230545487,-105.58475479310408,3.120656385905286,7.329985365328666,19.96785951447915,-42.12912698691587,3.33,1.59,,,,72.5,2987.0,6.5,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,54.01,,,,,,,,11,1,Curveball,0,0,0,0,0,0,0,0,Infield shift,Standard,89.0,0.0,-0.09,,
ST,2020-08-02,79.6,-2.67,5.77,"Ohtani, Shohei",493329,660271,walk,ball,,,,,13,Yuli Gurriel walks.,R,R,R,LAA,HOU,B,,,3,2,2020,1.36,-0.3,-1.31,2.27,,488726.0,,0,2,Top,,,,,545358,,,0.4338591199655373,-115.93323293330074,-0.3872096173639158,12.20954461680796,21.525468741969924,-35.03069081930516,3.37,1.63,,,,80.0,2357.0,6.5,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,54.03,,0.698811,0.7,1.0,0.0,0.0,,10,6,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,63.0,-0.029,0.373,,
FF,2020-08-02,96.7,-2.59,5.7,"Ohtani, Shohei",493329,660271,,ball,,,,,14,Yuli Gurriel walks.,R,R,R,LAA,HOU,B,,,2,2,2020,-0.37,1.43,1.02,0.16,,,488726.0,0,2,Top,,,,,545358,,,10.541489822842037,-140.04583585152272,-12.531454860784862,-7.240777037343351,30.705070527240885,-10.656844880017708,3.34,1.66,,,,97.3,2121.0,6.8,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.65,,,,,,,,10,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,200.0,-0.026,0.161,,
FS,2020-08-02,87.2,-2.17,5.96,"Ohtani, Shohei",493329,660271,,blocked_ball,,,,,14,Yuli Gurriel walks.,R,R,R,LAA,HOU,B,,,1,2,2020,-0.24,0.06,0.24,0.32,,,488726.0,0,2,Top,,,,,545358,,,6.336409721584952,-126.6763942685634,-7.543720237518295,-3.867692457898377,26.042944735286376,-30.193630690095205,3.28,1.59,,,,87.8,1141.0,6.8,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.74,,,,,,,,10,4,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,243.0,0.0,0.066,,
ST,2020-08-02,82.2,-2.78,5.62,"Ohtani, Shohei",493329,660271,,ball,,,,,14,Yuli Gurriel walks.,R,R,R,LAA,HOU,B,,,0,2,2020,1.22,0.53,1.24,2.01,,,488726.0,0,2,Top,,,,,545358,,,6.795015353360403,-119.5780979355237,-2.6920486501457344,10.360688104336033,22.950593561296447,-26.76406981309327,3.32,1.67,,,,82.8,2278.0,6.7,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.82,,,,,,,,10,3,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,73.0,0.0,0.0,,
FF,2020-08-02,93.6,-2.49,5.87,"Ohtani, Shohei",493329,660271,,called_strike,,,,,5,Yuli Gurriel walks.,R,R,R,LAA,HOU,S,,,0,1,2020,-0.01,1.16,0.05,2.3,,,488726.0,0,2,Top,,,,,545358,,,6.639008516383448,-136.20660913199205,-6.112890169929736,-1.5689421957183367,28.48049453487488,-16.52816769038961,3.4,1.66,,,,94.5,2068.0,6.7,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.77,,,,,,,,10,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,203.0,0.0,-0.065,,
ST,2020-08-02,80.9,-2.63,5.86,"Ohtani, Shohei",493329,660271,,called_strike,,,,,9,Yuli Gurriel walks.,R,R,R,LAA,HOU,S,,,0,0,2020,1.09,0.59,0.57,2.02,,,488726.0,0,2,Top,,,,,545358,,,5.106577256830998,-117.75543887959098,-3.079970018074404,9.185919686122253,21.80848743096817,-26.317609366473945,3.33,1.64,,,,81.5,2145.0,6.7,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.84,,,,,,,,10,1,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,68.0,0.0,-0.05,,
FS,2020-08-02,87.2,-2.51,5.98,"Ohtani, Shohei",488726,660271,walk,ball,,,,,11,Michael Brantley walks.,R,L,R,LAA,HOU,B,,,3,2,2020,-0.46,0.2,-2.21,2.7,,,,0,2,Top,,,,,545358,,,1.6639883486527554,-127.00097165459631,-2.1696948081625558,-5.285637132104931,26.470453568074237,-29.72376592234187,3.32,1.7,,,,87.7,1245.0,6.6,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.88,,0.698811,0.7,1.0,0.0,0.0,,9,8,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,214.0,-0.038,0.333,,
FF,2020-08-02,96.0,-2.6,5.86,"Ohtani, Shohei",488726,660271,,foul,,,,,2,Michael Brantley walks.,R,L,R,LAA,HOU,S,,,3,2,2020,0.11,1.0,0.21,2.8,,,,0,2,Top,,,,,545358,,,7.254485049255354,-139.66660671432044,-4.833656454181635,-0.0785747023291,28.59384983070817,-18.173745912563263,3.37,1.53,245.0,74.8,36.0,97.1,2274.0,6.7,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.75,,,,,,,,9,7,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,186.0,0.0,0.0,,
FS,2020-08-02,86.5,-2.46,5.92,"Ohtani, Shohei",488726,660271,,foul,,,,,1,Michael Brantley walks.,R,L,R,LAA,HOU,S,,,3,2,2020,0.31,0.06,-0.34,3.39,,,,0,2,Top,,,,,545358,,,4.443465740844083,-125.87879146653188,0.075289283186293,2.397826337063337,26.15536488894262,-31.811868944244768,3.37,1.53,189.0,72.0,55.0,86.8,3021.0,6.5,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.95,,,,,,,,9,6,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,84.0,0.0,0.0,,
FF,2020-08-02,94.8,-2.51,5.83,"Ohtani, Shohei",488726,660271,,called_strike,,,,,7,Michael Brantley walks.,R,L,R,LAA,HOU,S,,,3,1,2020,-0.11,1.3,-0.7,1.64,,,,0,2,Top,,,,,545358,,,5.01236288879333,-137.87983915009974,-8.28170877593242,-2.423204734137796,28.84855989338607,-13.984982818550822,3.37,1.6,,,,95.7,2172.0,6.7,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.78,,,,,,,,9,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,202.0,0.0,-0.095,,
FF,2020-08-02,95.4,-2.46,5.85,"Ohtani, Shohei",488726,660271,,ball,,,,,14,Michael Brantley walks.,R,L,R,LAA,HOU,B,,,2,1,2020,0.12,1.22,1.3,1.11,,,,0,2,Top,,,,,545358,,,9.6839628867473,-138.3429151152291,-9.635306732789235,-0.5195406989530705,30.120163775080115,-14.439718473101156,3.37,1.67,,,,96.1,2326.0,6.8,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.67,,,,,,,,9,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,208.0,0.0,0.122,,
