pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2020-08-02,89.7,-2.29,5.96,"Ohtani, Shohei",543807,660271,walk,blocked_ball,,,,,14,George Springer walks.   Yuli Gurriel scores.    Josh Reddick to 3rd.    Dustin Garneau to 2nd.,R,R,R,LAA,HOU,B,,,3,1,2020,-0.55,1.18,1.16,0.69,493329.0,502210.0,572863.0,2,2,Top,,,,,545358,,,9.721058707540625,-130.09902121333243,-9.63528766395456,-8.038519345366133,23.95422502014132,-16.88824730800857,3.49,1.69,,,,90.6,2095.0,6.7,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.77,,0.698811,0.7,1.0,0.0,0.0,,15,5,4-Seam Fastball,0,1,1,0,2,0,2,0,Infield shift,Standard,211.0,-0.093,0.569,,
ST,2020-08-02,77.6,-2.46,5.79,"Ohtani, Shohei",543807,660271,,blocked_ball,,,,,14,George Springer walks.   Yuli Gurriel scores.    Josh Reddick to 3rd.    Dustin Garneau to 2nd.,R,R,R,LAA,HOU,B,,,2,1,2020,1.08,0.24,1.14,0.79,493329.0,502210.0,572863.0,2,2,Top,,,,,545358,,,5.771916688553657,-112.92356605804136,-4.283014048980172,8.3546142258794,18.522740154471062,-29.600228607400407,3.37,1.66,,,,78.3,2118.0,6.6,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.93,,,,,,,,15,4,Sweeper,0,1,1,0,1,0,1,0,Infield shift,Standard,69.0,0.0,0.323,,
FF,2020-08-02,89.1,-2.22,5.97,"Ohtani, Shohei",543807,660271,,called_strike,,,,,9,George Springer walks.   Yuli Gurriel scores.    Josh Reddick to 3rd.    Dustin Garneau to 2nd.,R,R,R,LAA,HOU,S,,,2,0,2020,-0.2,1.25,0.42,1.87,493329.0,502210.0,572863.0,2,2,Top,,,,,545358,,,6.948826620525654,-129.64006587826384,-6.792523507314321,-3.469288002950776,22.42603532865032,-16.90939291829015,3.49,1.69,,,,90.4,1951.0,6.7,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.81,,,,,,,,15,3,4-Seam Fastball,0,1,1,0,1,0,1,0,Infield shift,Standard,211.0,0.0,-0.198,,
FF,2020-08-02,89.6,-2.32,5.93,"Ohtani, Shohei",543807,660271,,ball,,,,,14,George Springer walks.   Yuli Gurriel scores.    Josh Reddick to 3rd.    Dustin Garneau to 2nd.,R,R,R,LAA,HOU,B,,,1,0,2020,-0.19,1.16,0.47,1.44,493329.0,502210.0,572863.0,2,2,Top,,,,,545358,,,7.345130993834661,-130.25409935939902,-7.625864558113818,-3.638101695449994,25.19909142433431,-17.56482040110572,3.49,1.69,,,,90.4,1988.0,6.7,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.82,,,,,,,,15,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Infield shift,Standard,206.0,0.0,0.196,,
ST,2020-08-02,78.0,-2.56,5.77,"Ohtani, Shohei",543807,660271,,ball,,,,,14,George Springer walks.   Yuli Gurriel scores.    Josh Reddick to 3rd.    Dustin Garneau to 2nd.,R,R,R,LAA,HOU,B,,,0,0,2020,1.19,0.37,0.96,1.09,493329.0,502210.0,572863.0,2,2,Top,,,,,545358,,,5.434204178055129,-113.54417241179556,-3.9715024491194817,9.521167935591686,18.33307487951112,-28.44095518956971,3.46,1.63,,,,79.0,2245.0,6.7,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.8,,,,,,,,15,1,Sweeper,0,1,1,0,1,0,1,0,Infield shift,Standard,59.0,0.0,0.118,,
FF,2020-08-02,94.2,-2.53,5.83,"Ohtani, Shohei",572863,660271,walk,ball,,,,,1,Dustin Garneau walks.   Michael Brantley scores.    Yuli Gurriel to 3rd.    Josh Reddick to 2nd.,R,R,R,LAA,HOU,B,,,3,2,2020,-0.26,1.22,-0.6,3.06,488726.0,493329.0,502210.0,2,2,Top,,,,,545358,,,5.655510226310346,-137.15542992221538,-4.278124568553444,-4.487568816159264,27.26892287061879,-16.02711974999575,3.36,1.54,,,,95.3,2050.0,6.6,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.86,,0.698811,0.7,1.0,0.0,0.0,,14,6,4-Seam Fastball,0,0,0,0,1,0,1,0,Standard,Standard,216.0,-0.104,0.859,,
FF,2020-08-02,93.1,-2.44,5.85,"Ohtani, Shohei",572863,660271,,swinging_strike,,,,,5,Dustin Garneau walks.   Michael Brantley scores.    Yuli Gurriel to 3rd.    Josh Reddick to 2nd.,R,R,R,LAA,HOU,S,,,3,1,2020,-0.11,1.14,0.27,2.2,488726.0,493329.0,502210.0,2,2,Top,,,,,545358,,,7.239395762462098,-135.49489861984955,-6.2079213081218,-2.6816710825025774,25.73457050686829,-16.972684207366648,3.47,1.59,,,,94.2,2065.0,6.6,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.87,,,,,,,,14,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,211.0,0.0,-0.289,,
ST,2020-08-02,79.7,-2.62,5.72,"Ohtani, Shohei",572863,660271,,blocked_ball,,,,,14,Dustin Garneau walks.   Michael Brantley scores.    Yuli Gurriel to 3rd.    Josh Reddick to 2nd.,R,R,R,LAA,HOU,B,,,2,1,2020,1.72,0.41,1.71,0.75,488726.0,493329.0,502210.0,2,2,Top,,,,,545358,,,6.3133892147656905,-115.82725317377924,-4.941530463577294,14.234747970483175,22.170339708554103,-27.7383781697219,3.47,1.67,,,,80.1,3017.0,6.7,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.83,,,,,,,,14,4,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,25.0,0.0,0.323,,
FF,2020-08-02,95.4,-2.47,5.79,"Ohtani, Shohei",572863,660271,,ball,,,,,14,Dustin Garneau walks.   Michael Brantley scores.    Yuli Gurriel to 3rd.    Josh Reddick to 2nd.,R,R,R,LAA,HOU,B,,,1,1,2020,0.07,0.96,2.19,1.48,488726.0,493329.0,502210.0,2,2,Top,,,,,545358,,,12.191280737493058,-138.43518470624963,-7.977607889657586,-1.4747659243151268,27.06607836000599,-18.25839598823652,3.47,1.61,,,,96.6,1356.0,6.8,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.66,,,,,,,,14,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,95.0,0.0,0.157,,
FS,2020-08-02,86.3,-2.29,5.96,"Ohtani, Shohei",572863,660271,,blocked_ball,,,,,13,Dustin Garneau walks.   Michael Brantley scores.    Yuli Gurriel to 3rd.    Josh Reddick to 2nd.,R,R,R,LAA,HOU,B,,,0,1,2020,-0.04,0.14,-0.21,1.0,488726.0,493329.0,502210.0,2,2,Top,,,,,545358,,,5.071499244957183,-125.43014155842673,-5.819723671993134,-1.4965289183611212,26.802867607019003,-29.706770205991734,3.47,1.61,,,,86.6,2251.0,6.7,631393,660271,545358,642136,650859,543685,664058,457708,571718,621493,53.83,,,,,,,,14,2,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,183.0,0.0,0.075,,
