pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
ST,2018-09-02,80.0,-2.14,5.96,"Ohtani, Shohei",514888,660271,field_out,hit_into_play,,,,,14,"Jose Altuve grounds out, second baseman David Fletcher to first baseman Jefry Marte.",R,R,R,HOU,LAA,X,4.0,ground_ball,1,2,2018,1.18,0.3,0.49,1.04,,,,0,3,Bot,139.01,148.32,,,516472,,,3.58915462753145,-116.51773765157,-4.7263464527654,10.0579796237073,22.3835663735988,-28.7261652834289,2.92,1.38,94.0,58.3,12.0,80.3,2286.0,6.5,531454,660271,516472,527043,664058,621493,592743,458913,545361,594777,53.98,0.147,0.146,0.0,1.0,0.0,0.0,1.0,24,4,Sweeper,2,0,2,0,0,2,2,0,Standard,Standard,104.0,-0.015,-0.167,,
FF,2018-09-02,92.7,-2.08,6.06,"Ohtani, Shohei",514888,660271,,foul,,,,,2,"Jose Altuve grounds out, second baseman David Fletcher to first baseman Jefry Marte.",R,R,R,HOU,LAA,S,,,1,1,2018,-0.27,1.31,0.06,2.72,,,,0,3,Bot,,,,,516472,,,6.09908888577599,-134.903552588651,-5.61353050094762,-4.65606212658114,30.221798050676,-15.088753396688,2.87,1.38,156.0,78.5,73.0,93.0,2046.0,6.6,531454,660271,516472,527043,664058,621493,592743,458913,545361,594777,53.95,,,,,,,,24,3,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,192.0,0.0,-0.056,,
FF,2018-09-02,92.5,-2.03,6.1,"Ohtani, Shohei",514888,660271,,called_strike,,,,,6,"Jose Altuve grounds out, second baseman David Fletcher to first baseman Jefry Marte.",R,R,R,HOU,LAA,S,,,1,0,2018,-0.17,1.32,0.41,2.11,,,,0,3,Bot,,,,,516472,,,6.65348072388215,-134.520357762193,-7.26477728817303,-3.65489429531479,30.8951482717438,-14.6321985043321,2.85,1.36,,,,92.9,2106.0,6.7,531454,660271,516472,527043,664058,621493,592743,458913,545361,594777,53.84,,,,,,,,24,2,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,188.0,0.0,-0.044,,
FF,2018-09-02,91.6,-2.02,6.13,"Ohtani, Shohei",514888,660271,,ball,,,,,11,"Jose Altuve grounds out, second baseman David Fletcher to first baseman Jefry Marte.",R,R,R,HOU,LAA,B,,,0,0,2018,-0.26,1.32,-0.01,3.6,,,,0,3,Bot,,,,,516472,,,5.66329162348311,-133.348140404071,-3.38193389811075,-4.37046877466054,30.0988074785303,-15.8149826292874,2.9,1.41,,,,91.9,2125.0,6.6,531454,660271,516472,527043,664058,621493,592743,458913,545361,594777,53.94,,,,,,,,24,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,191.0,0.0,0.036,,
ST,2018-09-02,77.0,-2.28,5.87,"Ohtani, Shohei",543807,660271,home_run,hit_into_play,,,,,8,George Springer homers (20) on a fly ball to left field.   Tony Kemp scores.,R,R,R,HOU,LAA,X,,fly_ball,1,2,2018,1.43,0.03,-0.26,1.91,,,643393.0,0,3,Bot,17.22,84.77,,,516472,,,1.65899732216449,-112.204369962792,-1.50352906517745,11.9706021987215,20.8404474650747,-31.8200981517796,3.56,1.72,370.0,98.1,27.0,77.9,2231.0,6.9,531454,660271,516472,527043,664058,621493,592743,458913,545361,594777,53.58,0.433,0.714,2.0,1.0,0.0,3.0,6.0,23,5,Sweeper,0,0,0,0,0,2,2,0,Standard,Strategic,91.0,0.178,1.683,,
FS,2018-09-02,83.4,-2.0,6.11,"Ohtani, Shohei",543807,660271,,foul,,,,,5,George Springer homers (20) on a fly ball to left field.   Tony Kemp scores.,R,R,R,HOU,LAA,S,,,1,2,2018,-0.25,0.33,-0.26,2.48,,,643393.0,0,3,Bot,,,,,516472,,,4.46109619315396,-121.223980330761,-2.41915190164814,-3.40247183001704,27.9684562062583,-28.6550975475088,3.54,1.7,130.0,69.2,73.0,82.6,1347.0,6.2,531454,660271,516472,527043,664058,621493,592743,458913,545361,594777,54.28,,,,,,,,23,4,Split-Finger,0,0,0,0,0,0,0,0,Standard,Strategic,216.0,0.0,0.0,,
ST,2018-09-02,77.7,-2.17,5.89,"Ohtani, Shohei",543807,660271,,foul,,,,,6,George Springer homers (20) on a fly ball to left field.   Tony Kemp scores.,R,R,R,HOU,LAA,S,,,1,1,2018,1.44,0.11,0.71,2.56,,,643393.0,0,3,Bot,,,,,516472,,,3.53610854928406,-113.092867837627,-0.352435777368792,11.6356837912933,22.8446755328961,-31.4170935971337,3.56,1.72,140.0,61.4,61.0,77.9,2207.0,6.7,531454,660271,516472,527043,664058,621493,592743,458913,545361,594777,53.85,,,,,,,,23,3,Sweeper,0,0,0,0,0,0,0,0,Standard,Strategic,94.0,0.0,-0.075,,
ST,2018-09-02,76.5,-2.29,5.93,"Ohtani, Shohei",543807,660271,,ball,,,,,11,George Springer homers (20) on a fly ball to left field.   Tony Kemp scores.,R,R,R,HOU,LAA,B,,,0,1,2018,1.36,0.37,-0.86,3.91,,,643393.0,0,3,Bot,,,,,516472,,,0.566877026944463,-111.409369218981,2.10388784886436,11.1248170404967,20.7334700031286,-29.7092755364678,3.6,1.67,,,,76.4,2183.0,6.3,531454,660271,516472,527043,664058,621493,592743,458913,545361,594777,54.24,,,,,,,,23,2,Sweeper,0,0,0,0,0,0,0,0,Standard,Strategic,105.0,0.0,0.042,,
FF,2018-09-02,92.1,-1.94,6.05,"Ohtani, Shohei",543807,660271,,called_strike,,,,,6,George Springer homers (20) on a fly ball to left field.   Tony Kemp scores.,R,R,R,HOU,LAA,S,,,0,0,2018,-0.53,1.47,0.64,2.66,,,643393.0,0,3,Bot,,,,,516472,,,7.82042394194387,-133.896550649064,-6.05977585243784,-8.27557032126462,30.8163556462126,-13.0396560617599,3.6,1.72,,,,92.9,2234.0,7.0,531454,660271,516472,527043,664058,621493,592743,458913,545361,594777,53.53,,,,,,,,23,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,200.0,0.0,-0.055,,
ST,2018-09-02,76.7,-2.17,6.06,"Ohtani, Shohei",643393,660271,walk,ball,,,,,11,Tony Kemp walks.,R,L,R,HOU,LAA,B,,,3,2,2018,1.46,0.06,-1.04,2.54,,,,0,3,Bot,,,,,516472,,,-0.216044031318922,-111.658577793621,-0.504883691393128,12.0336253737702,21.4026223295781,-31.8237958363035,3.01,1.43,,,,76.2,2168.0,6.1,531454,660271,516472,527043,664058,621493,592743,458913,545361,594777,54.43,,0.68953,0.7,1.0,0.0,0.0,,22,7,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,93.0,0.04,0.321,,
ST,2018-09-02,77.6,-2.23,5.91,"Ohtani, Shohei",643393,660271,,ball,,,,,13,Tony Kemp walks.,R,L,R,HOU,LAA,B,,,2,2,2018,1.46,0.01,-1.34,2.25,,,,0,3,Bot,,,,,516472,,,-0.761713598048465,-112.998042515066,-0.882485477768575,12.5157616165444,22.0801604712536,-32.1587528495543,3.05,1.52,,,,77.4,2186.0,6.3,531454,660271,516472,527043,664058,621493,592743,458913,545361,594777,54.24,,,,,,,,22,6,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,90.0,0.0,0.093,,
FS,2018-09-02,83.7,-2.06,6.14,"Ohtani, Shohei",643393,660271,,foul,,,,,7,Tony Kemp walks.,R,L,R,HOU,LAA,S,,,2,2,2018,-0.16,0.17,-0.44,1.48,,,,0,3,Bot,,,,,516472,,,4.04534743191072,-121.913761196423,-4.71351165740954,-2.36374074894856,22.2405656913981,-29.8089179365711,3.03,1.45,,,,83.9,1106.0,6.2,531454,660271,516472,527043,664058,621493,592743,458913,545361,594777,54.3,,,,,,,,22,5,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,223.0,0.0,0.0,,
FF,2018-09-02,91.9,-2.0,6.08,"Ohtani, Shohei",643393,660271,,foul,,,,,1,Tony Kemp walks.,R,L,R,HOU,LAA,S,,,2,1,2018,-0.59,1.32,-0.71,2.67,,,,0,3,Bot,,,,,516472,,,4.6910370072948,-133.896914821957,-5.92918335259557,-8.32194426038506,28.0191715397535,-14.5315694561656,3.03,1.5,286.0,85.3,38.0,94.1,2158.0,7.4,531454,660271,516472,527043,664058,621493,592743,458913,545361,594777,53.06,,,,,,,,22,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,204.0,0.0,-0.064,,
CU,2018-09-02,68.4,-1.75,6.3,"Ohtani, Shohei",643393,660271,,ball,,,,,11,Tony Kemp walks.,R,L,R,HOU,LAA,B,,,1,1,2018,0.91,-1.43,-1.34,2.28,,,,0,3,Bot,,,,,516472,,,-0.625769842295436,-99.3182247728564,2.60206973374783,5.86904872803291,18.195431048612,-42.0061759104914,2.96,1.41,,,,66.9,2147.0,5.5,531454,660271,516472,527043,664058,621493,592743,458913,545361,594777,55.03,,,,,,,,22,3,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,33.0,0.0,0.051,,
FF,2018-09-02,90.2,-1.96,6.28,"Ohtani, Shohei",643393,660271,,foul,,,,,1,Tony Kemp walks.,R,L,R,HOU,LAA,S,,,1,0,2018,-0.59,1.39,-0.33,3.02,,,,0,3,Bot,,,,,516472,,,5.35425897202832,-131.2444480574,-5.1948647013545,-7.98036969289126,26.1523308882192,-15.0628152489865,3.05,1.46,,,,90.8,1976.0,6.5,531454,660271,516472,527043,664058,621493,592743,458913,545361,594777,53.99,,,,,,,,22,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,203.0,0.0,-0.044,,
FS,2018-09-02,88.9,-1.97,6.25,"Ohtani, Shohei",643393,660271,,ball,,,,,11,Tony Kemp walks.,R,L,R,HOU,LAA,B,,,0,0,2018,-0.7,1.23,-0.69,3.31,,,,0,3,Bot,,,,,516472,,,4.62735120665544,-129.473886974741,-3.80335950189532,-8.88435273365469,25.6645229223184,-17.6944955375625,2.9,1.47,,,,89.3,1952.0,6.4,531454,660271,516472,527043,664058,621493,592743,458913,545361,594777,54.09,,,,,,,,22,1,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,210.0,0.0,0.036,,
FF,2018-09-02,93.9,-2.06,5.98,"Ohtani, Shohei",455117,660271,field_out,hit_into_play,,,,,6,"Martin Maldonado grounds out, second baseman David Fletcher to first baseman Jefry Marte.",R,R,R,HOU,LAA,X,4.0,ground_ball,1,1,2018,-0.5,1.27,0.29,2.22,,,,2,2,Bot,139.96,146.83,,,516472,,,7.30190786683488,-136.643759615647,-7.0446903991501,-7.89508793736692,27.4146710994289,-14.4796468310836,3.32,1.56,93.0,72.1,8.0,95.5,2103.0,7.0,531454,660271,516472,527043,664058,621493,592743,458913,545361,594777,53.47,0.267,0.179,0.0,1.0,0.0,0.0,2.0,15,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,201.0,-0.011,-0.095,,
FF,2018-09-02,95.2,-2.06,5.99,"Ohtani, Shohei",455117,660271,,ball,,,,,14,"Martin Maldonado grounds out, second baseman David Fletcher to first baseman Jefry Marte.",R,R,R,HOU,LAA,B,,,0,1,2018,-0.32,1.36,1.2,1.33,,,,2,2,Bot,,,,,516472,,,9.35662284782804,-138.204692871361,-9.76533177166382,-6.12748929362934,28.5526605043977,-12.5397614759814,3.25,1.63,,,,96.2,2190.0,6.8,531454,660271,516472,527043,664058,621493,592743,458913,545361,594777,53.69,,,,,,,,15,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,193.0,0.0,0.011,,
ST,2018-09-02,77.6,-2.26,5.96,"Ohtani, Shohei",455117,660271,,called_strike,,,,,9,"Martin Maldonado grounds out, second baseman David Fletcher to first baseman Jefry Marte.",R,R,R,HOU,LAA,S,,,0,0,2018,1.19,-0.31,0.58,1.66,,,,2,2,Bot,,,,,516472,,,3.89481129516927,-113.019956413673,-1.70577753961863,9.47852575606807,21.0473268437182,-34.751274627366,3.27,1.72,,,,77.6,2188.0,6.3,531454,660271,516472,527043,664058,621493,592743,458913,545361,594777,54.2,,,,,,,,15,1,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,75.0,0.0,-0.016,,
FS,2018-09-02,87.2,-2.11,6.03,"Ohtani, Shohei",493329,660271,strikeout,swinging_strike_blocked,,,,,14,Yuli Gurriel strikes out swinging.,R,R,R,HOU,LAA,S,2.0,,1,2,2018,-0.66,-0.1,1.36,0.54,,,,1,2,Bot,,,,,516472,,,9.65391364986413,-126.439023214292,-6.73326875124509,-9.03007376816374,26.5990614012142,-32.0993478541541,3.34,1.55,,,,86.8,1303.0,6.3,531454,660271,516472,527043,664058,621493,592743,458913,545361,594777,54.19,,0.0,0.0,1.0,0.0,0.0,,14,5,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,279.0,-0.016,-0.117,,
